group_site_sp.code;pheno_study.num_transect_run;pheno_tree.num_pheno_tree;yl_index;ml_index;fl_index;urf_index;rf_index;fruit_ground_quantity;yl_nb_estimation;ml_nb_estimation;fl_nb_estimation;urf_nb_estimation;rf_nb_estimation;id_vocabulary_fruit_ground_maturity;comment
SBL;AP55;COA-A01;;;;;;;;;;;;;
SBL;AP55;FBR-A01;;;;;;;;;;;;;
SBL;AP55;CNP-A01;;;;;;;;;;;;;
SBL;AP55;FOT-A01;;;;;;;;;;;;;
SBL;AP55;FCP-A01;;;;;;;;;;;;;
SBL;AP55;CRP-S-A01;;;;;;;;;;;;;
SBL;AP55;FBR-A02;;;;;;;;;;;;;
SBL;AP55;FCP-A02;;;;;;;;;;;;;
SBL;AP55;FTH-A01;;;;;;;;;;;;;
SBL;AP55;FDA-A01;;;;;;;;;;;;;
SBL;AP55;MYR-A01;;;;;;;;;;;;;
SBL;AP55;ANI-A01;;;;;;;;;;;;;
SBL;AP55;FCY-A01;;;;;;;;;;;;;
SBL;AP55;FNA-A01;;;;;;;;;;;;;
SBL;AP55;PAR-A01;;;;;;;;;;;;;
SBL;AP55;FDA-A02;;;;;;;;;;;;;
SBL;AP55;FTH-A02;;;;;;;;;;;;;
SBL;AP55;FDA-A03;;;;;;;;;;;;;
SBL;AP55;FNA-A02;;;;;;;;;;;;;
SBL;AP55;FDA-A04;;;;;;;;;;;;;
SBL;AP55;MMS-A01;;;;;;;;;;;;;
SBL;AP55;MMS-A02;;;;;;;;;;;;;
SBL;AP55;CNP-A02;;;;;;;;;;;;;
SBL;AP55;TSL-A01;;;;;;;;;;;;;
SBL;AP55;FCP-A03;;;;;;;;;;;;;
SBL;AP55;CNP-A03;;;;;;;;;;;;;
SBL;AP55;MMS-A03;;;;;;;;;;;;;
SBL;AP55;DEG-A01;;;;;;;;;;;;;
SBL;AP55;ALB-A01;;;;;;;;;;;;;
SBL;AP55;COA-A02;;;;;;;;;;;;;
SBL;AP55;CHR-A01;;;;;;;;;;;;;
SBL;AP55;FCP-A04;;;;;;;;;;;;;
SBL;AP55;CNP-A04;;;;;;;;;;;;;
SBL;AP55;COA-A03;;;;;;;;;;;;;
SBL;AP55;COA-A04;;;;;;;;;;;;;
SBL;AP55;ANI-A02;;;;;;;;;;;;;
SBL;AP55;PAR-A02;;;;;;;;;;;;;
SBL;AP55;DEG-A02;;;;;;;;;;;;;
SBL;AP55;CNP-A05;;;;;;;;;;;;;
SBL;AP55;CDU-A01;;;;;;;;;;;;;
SBL;AP55;COA-A05;;;;;;;;;;;;;
SBL;AP55;FBR-A03;;;;;;;;;;;;;
SBL;AP55;CAF-A01;;;;;;;;;;;;;
SBL;AP55;FNA-A03;;;;;;;;;;;;;
SBL;AP55;EUA-A01;;;;;;;;;;;;;
SBL;AP55;PAF-A01;;;;;;;;;;;;;
SBL;AP55;LNC-A01;;;;;;;;;;;;;
SBL;AP55;CAF-A02;;;;;;;;;;;;;
SBL;AP55;CAF-A03;;;;;;;;;;;;;
SBL;AP55;FEX-A01;;;;;;;;;;;;;
SBL;AP55;DEG-A03;;;;;;;;;;;;;
SBL;AP55;PAR-A03;;;;;;;;;;;;;
SBL;AP55;FVA-A01;;;;;;;;;;;;;
SBL;CP55;PSD-C01;;;;;;;;;;;;;
SBL;CP55;TEC-C01;;;;;;;;;;;;;
SBL;CP55;CDU-C01;;;;;;;;;;;;;
SBL;CP55;FEX-C01;;;;;;;;;;;;;
SBL;CP55;LNC-C01;;;;;;;;;;;;;
SBL;CP55;CHT-C01;;;;;;;;;;;;;
SBL;CP55;FEX-C02;;;;;;;;;;;;;
SBL;CP55;FCP-C01;;;;;;;;;;;;;
SBL;CP55;CDU-C02;;;;;;;;;;;;;
SBL;CP55;FEX-C03;;;;;;;;;;;;;
SBL;CP55;CDU-C03;;;;;;;;;;;;;
SBL;CP55;EUA-C01;;;;;;;;;;;;;
SBL;CP55;CRP-S-C01;;;;;;;;;;;;;
SBL;CP55;FDA-C01;;;;;;;;;;;;;
SBL;CP55;COA-C01;;;;;;;;;;;;;
SBL;CP55;CDU-C04;;;;;;;;;;;;;
SBL;CP55;FEX-C04;;;;;;;;;;;;;
SBL;CP55;MMS-C01;;;;;;;;;;;;;
SBL;CP55;CDU-C05;;;;;;;;;;;;;
SBL;CP55;FEX-C05;;;;;;;;;;;;;
SBL;CP55;FNA-C01;;;;;;;;;;;;;
SBL;CP55;MYR-C01;;;;;;;;;;;;;
SBL;CP55;COA-C02;;;;;;;;;;;;;
SBL;CP55;COA-C03;;;;;;;;;;;;;
SBL;CP55;OLW-C01;;;;;;;;;;;;;
SBL;CP55;URH-C01;;;;;;;;;;;;;
SBL;CP55;EUA-C02;;;;;;;;;;;;;
SBL;CP55;PAF-C01;;;;;;;;;;;;;
SBL;CP55;COA-C04;;;;;;;;;;;;;
SBL;CP55;FBR-C01;;;;;;;;;;;;;
SBL;CP55;FEX-C06;;;;;;;;;;;;;
SBL;CP55;BOS-C01;;;;;;;;;;;;;
SBL;CP55;COA-C05;;;;;;;;;;;;;
SBL;CP55;MYR-C02;;;;;;;;;;;;;
SBL;CP55;PAF-C02;;;;;;;;;;;;;
SBL;CP55;FEX-C07;;;;;;;;;;;;;
SBL;CP55;FEX-C08;;;;;;;;;;;;;
SBL;CP55;PAF-C03;;;;;;;;;;;;;
SBL;CP55;COA-C06;;;;;;;;;;;;;
SBL;CP55;COA-C07;;;;;;;;;;;;;
SBL;CP55;EHR-C01;;;;;;;;;;;;;
SBL;CP55;FDA-C02;;;;;;;;;;;;;
SBL;CP55;FTH-C01;;;;;;;;;;;;;
SBL;CP55;COA-C08;;;;;;;;;;;;;
SBL;CP55;FTH-C02;;;;;;;;;;;;;
SBL;CP55;FTH-C03;;;;;;;;;;;;;
SBL;CP55;FNA-C02;;;;;;;;;;;;;
SBL;CP55;URH-C02;;;;;;;;;;;;;
SBL;CP55;FNA-C03;;;;;;;;;;;;;
SBL;CP55;COA-C09;;;;;;;;;;;;;
SBL;CP55;FBD-C01;;;;;;;;;;;;;
SBL;CP55;EUA-C03;;;;;;;;;;;;;
SBL;CP55;EUA-C04;;;;;;;;;;;;;
SBL;CP55;EUA-C05;;;;;;;;;;;;;
SBL;CP55;TSL-C01;;;;;;;;;;;;;
SBL;CP55;FTH-C04;;;;;;;;;;;;;
SBL;KP55;DPT-K01;;;;;;;;;;;;;
SBL;KP55;PAN-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K01;;;;;;;;;;;;;
SBL;KP55;CHR-K02;;;;;;;;;;;;;
SBL;KP55;CNP-K01;;;;;;;;;;;;;
SBL;KP55;MYR-K01;;;;;;;;;;;;;
SBL;KP55;FCP-K01;;;;;;;;;;;;;
SBL;KP55;ANI-K01;;;;;;;;;;;;;
SBL;KP55;CDU-K01;;;;;;;;;;;;;
SBL;KP55;TEC-K01;;;;;;;;;;;;;
SBL;KP55;DEG-K01;;;;;;;;;;;;;
SBL;KP55;APH-K01;;;;;;;;;;;;;
SBL;KP55;CRP-K01;;;;;;;;;;;;;
SBL;KP55;APH-K02;;;;;;;;;;;;;
SBL;KP55;PAN-K02;;;;;;;;;;;;;
SBL;KP55;PAR-K01;;;;;;;;;;;;;
SBL;KP55;FBR-K01;;;;;;;;;;;;;
